Period,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19
Scotland - Excluding North Sea revenue (£ millions),28694,29959.57,31838.84,32461.46,32671.24,35589.55,37889.02,40411.48,42741.56,45437.4,44297.92,43735.03,46753.68,48419.25,49393.12,51351.13,53033.77,53804.51,56244.73,58326.53,61278.07
Scotland - Including North Sea revenue (£ millions),30212.35,32003.31,35712.26,36412.78,36672.97,38985.59,42482.01,48225.34,48892.13,53034.13,53152.72,49531.53,54586.49,56320.97,54036.44,54796.65,54410.89,53854.85,56511.01,59752.26,62707.66
Scotland - Excluding North Sea revenue (% UK revenue),0.084,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.081,0.082,0.082,0.082,0.082,0.082,0.082,0.081,0.08,0.079,0.077,0.078,0.078
Scotland - Including North Sea revenue (% UK revenue),0.088,0.087,0.091,0.091,0.09,0.089,0.09,0.096,0.092,0.094,0.097,0.091,0.094,0.094,0.088,0.086,0.082,0.079,0.078,0.079,0.08
Scotland - Excluding North Sea revenue (% GDP),0.368,0.376,0.38,0.371,0.357,0.365,0.367,0.366,0.369,0.376,0.357,0.354,0.375,0.375,0.368,0.364,0.363,0.365,0.368,0.368,0.372
Scotland - Including North Sea revenue (% GDP),0.352,0.35,0.355,0.359,0.343,0.349,0.356,0.37,0.36,0.365,0.358,0.348,0.369,0.372,0.355,0.344,0.34,0.338,0.346,0.35,0.347
UK - including all North Sea Revenue,0.343,0.351,0.359,0.35,0.338,0.346,0.354,0.357,0.359,0.362,0.351,0.35,0.362,0.364,0.357,0.357,0.356,0.358,0.365,0.364,0.368
