Period,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19
Scotland Excluding North Sea revenue,5653.07,5909.51,6288.25,6409.42,6448.32,7016.25,7442.68,7899.15,8311.72,8774.71,8502.24,8347.22,8868.93,9129.98,9289.44,9629.52,9905.54,9999.12,10396.97,10745.24,11268.29
Scotland Including North Sea revenue (population share),5684.81,5951.62,6369.09,6500.13,6535.25,7088.83,7544.15,8065.98,8441.09,8923.18,8673.74,8452.84,9014.18,9281.78,9383.79,9699.59,9931.68,9997.82,10397.51,10764.87,11286.97
Scotland Including North Sea revenue (geographical share),5952.21,6312.63,7053.26,7189.59,7238.15,7685.75,8344.9,9426.51,9507.79,10241.76,10201.76,9453.53,10354.77,10619.94,10162.72,10275.64,10162.76,10008.47,10446.19,11007.9,11531.17
UK Excluding North Sea revenue,5849,6206.95,6610.51,6665.98,6740.04,7273.79,7735.52,8174.65,8630.68,9023.82,8680.27,8583.58,9091.06,9329.95,9489.7,9834.36,10179.73,10499.15,11058.29,11366.6,11819.82
UK Including North Sea revenue,5880.75,6249.1,6691.37,6756.67,6826.98,7346.38,7837,8341.53,8760.05,9172.31,8851.76,8689.22,9236.31,9481.69,9584.05,9904.41,10205.86,10497.85,11058.84,11386.21,11838.44
